"OR","2.5 %","97.5 %"
"1|2",15.494445323506,4.01208476874353,59.8386748339577
"2|3",56.3787338200087,13.9765735971726,227.420662514194
"3|4",209.833449877505,49.3546408981565,892.116240463622
"4|5",841.956132253931,186.320658508968,3804.67809803216
"WordAnything",3.74407110392854,0.96100058203677,14.5869510313536
"WordDeveloping",3.37017055584641,0.8362578393144,13.5819947407679
"WordDoing",82.315556194551,21.2113456364425,319.444645698333
"WordEnding",4.81106047413096,1.2602493910914,18.3664463949474
"WordFeeling",171.116001462671,43.9913267317651,665.60133853453
"WordNothing",327.364131890802,80.8967698339102,1324.74108754458
"WordShopping",29.3739551408182,7.72188890826901,111.738105904481
"WordSomething",122.901364020326,31.3862106186151,481.254187120573
"WordStruggling",35.3076393520561,9.33594766092795,133.530032717745
"WordTalking",155.661803748736,40.258026413005,601.882389805438
"WordWarning",13.0627018119742,3.39354347242533,50.2820075873678
